name_project,project_desc,category_project
tutor VALORANT,Great game but very overrated lots of bugs and little issues but would recommend 10/10,"valorant, susah, free fire"
tutor NINTENDO,Management . every time i play so many laggs. Doesnt worth is money,sepuh
cari NINTENDO,RNG microtransactions in a paid game. No.,"suhu, susah"
tutor Resident Evil,This game has 10/10.,"cecan, sepuh"
joki Cyberpunk,I like this game The campfires work so well that my GPU even overheats ),jodoh
cari Clash Royale,Please put on an SSD.,free fire
cari NINTENDO,Fun game. There is no game without bugs/cheats but overall is worth it.,sepuh
tutor PUBG,toxic,cogan
joki Roblox,if your a fan of rust youtubers its extremely easy to find and interact with them10/10 would be a stalker again,"mobile legend, wibu, valorant"
tutor Clash Royale,Love the game so far but I'm hoping for a party system instead of just trying to join the same lobby over and over /,"sepuh, wibu, gg"
tutor Resident Evil,Cool,sepuh
cari COD,Fun!,"valorant, waifu"
tutor GTA,can even hunt a monster with friends connection is just sucks never last more then 5 minutes dont waste your money on this stupid game,"pro player, valorant, cogan"
joki GTA,It's okay.,"waifu, susah"
joki Clash Royale,99% mechanical skill1% game sense,"mobile legend, pro player, valorant"
cari Minecraft,Tryhard with teammates is awesome,cewek
cari NINTENDO,I finished GTA V twice on my PS3. And now when I finally have a gaming rig this game is one of the 5 first game that I bought on steam. There's a reason why this 2015 game is still one of the most bought game on steam at 2016.,"suhu, cewek"
tutor PUBG,"This game rocks. It totally does. If you watched gameplay from this game and thought ""hey this kinda looks fun!"" you literally HAVE to try it it's like a bajillion times better than you think it can be.",cogan
joki Destiny,This game is an ill advised purchase if you want to play casually against people of your skill level. i play with a team for 3v3 on an irregular basis and we'll win 2 5 games against people of our skill and then we'll be put against PROFESSIONAL rocket league players!!??!?!? im not good at this game but i can do a better job than most but going against professionals isn't fun and enraging to play against. IF you want to consider this game then just play bots because it's actually fun to play against people jumping off walls and hitting the ball in the middle of the arena isn't fun to play against. and don't buy the dlc.,"valorant, free fire, cogan"
tutor VALORANT,Pls fix ur eficiency of rendering game somethimes i got lagg,"gg, waifu"
cari NINTENDO,You can't choose between maps (i like more the old map btw) the servers are full of cheaters. this game,pro player
cari NINTENDO,"game is terrible. i traded (i knocked him he knocked me) with a kid today and that was my breaking point. also heard a buggy rev behind me then it didn't make single noise untill it ran me over. couldn't hear it at all. THEN to top it all off i get one pumped by a shot gun when i sprayed him with a micro uzi because of dsync. done with it. brendan fix your damn game.ALSO https //clips.twitch.tv/ElatedInterestingAlmondUWothttps //clips.twitch.tv/CleanCautiousSushiStrawBearywatch these. this game is overrated garbage. ""its still in early access stop crying about it"" is no longer an excuse. this game is supposed to RELEASE NEXT MONTH and im still getting dsync. garbage game. h1&gt pubg at this point honestly. don't buy this game unless you like raging and garbage mechanics.you can literally loot for the WHOLE ENTIRE GAME THEN DIE TO THE STUPID CIRCLE. you can loot a WHOLE CITY AND FIND A M16 WITH 30/30 SHOTS.you can loot a whole buildin AT MILITARY BASE. A DAMN MILITARY BASE. and find a level 1 helmet and a machete.don't buy this game please save yourself",free fire
tutor ML,If you continue to upload many more expensive items that nobody needs instead of fixing your game.PUBG will remain forever a dead game,"cogan, susah, pro player"
tutor PUBG,This game is the best purchase anyone will ever make in their life.,"valorant, mobile legend"
cari Resident Evil,it says play this weekend and get 750 000 and i havent got anything at all /,cecan
joki VALORANT,fggt gem fer fggts,suhu
tutor Cyberpunk,Just started this game a couple days ago but I'm already in love with it. It's a fun realistic survival game. I highly recommend it to other gamers.,"sepuh, jodoh"
joki DOTA,Product received for free. This game makes me suicidal. Teammate scored goal on overtime.,"cecan, wibu, cogan"
tutor PUBG,Infested with Hackers and bugs critical to gameplay (cars sometimes teleport and crash into things dropping out of the parachute often causes damage when it shouldnt),"cecan, susah, sepuh"
cari Destiny,fat dicc,"gg, suhu"
cari Roblox,100 players from the start Jumping out of a plane to any locaion you choose Finding gear and killing anyone who's not you or your fireteam. Holding down buildings from enemys or running across a open field and getting shot out of know where and hitting the deck and wondering what the hell to do. Great game and concept to the game. Fun if you have buddies. Also fun to team kill XD,"jodoh, free fire, suhu"
cari Minecraft,I liek balls,wibu
cari PUBG,well its much better then fortnite and much more real,"suhu, valorant"
tutor VALORANT,"Do I like rust? Short answer No.Long answer?It's a fantastic game with lots of people around you but to even attempt to solo/duo in this game in any server that isn't heavilly admined is pretty impossible. You can spend as much time as you want on this game and still end up at square one you HAVE to invest a solid 8/9 hours into it in one sitting to be at a point where people won't raid you when you go to bed.And if it so happens that during that 8 or 9 hours that someone who has no motive other than to make your time then my friend you're back to square one.People say ""oh but it's just rust!"" no it's not it's a ing fantastic display of a social experiment give people the ability to be s to people with no reprocussions and this is what spawns.I hear all the time oh rust legacy you used to be able to meet people have fun help each other.Nah. Not now.So do I like rust? Sure when there's 10 of us to farm quickly and get a base built I LOVE rust but to spend your time on your own? no.Don't purchase if you're a solo player.","waifu, free fire"
cari GTA,adolf hitler likes,"pro player, cewek"
joki COD,THis game is good but there is way to many hackers. Please fix this.,"free fire, susah, mobile legend"
cari Resident Evil,One of a kind genre. Think of it like you're experiencing the first of action shooters.,"waifu, cogan, cewek"
tutor Cyberpunk,Its a fun game,"sepuh, waifu"
tutor PUBG,God developers 60 tickrate,sepuh
joki VALORANT,whenever the 556 come back I will come bcak this stupid game,suhu
cari Clash Royale,A lot of hackers/modders in this game. The multiplayer is still super buggy. Overall a pretty good game though.,susah
joki GTA,After more than two years of devolopment You kill a deer you still get ******* raw chicken breast Best game EVER 10/ raw chicken breast,"mobile legend, free fire"
cari DOTA,Product received for free. This is trash,"pro player, jodoh"
tutor Roblox,very good game i like a lot,sepuh
cari Genshin Impact,Got to the top 12 in my first hour of play really compelling game. Very easy to get a hang of and very compelling gameplay. Great alone and better with friends.,"cewek, susah, cogan"
joki Roblox,wtf is this bugg when you cant walk and shoot,"pro player, sepuh, gg"
joki Bang Bang,This is a Good Game Just not for me..... Sound track is f*cking awesome tho D,"jodoh, waifu, valorant"
joki Bang Bang,top game,"susah, mobile legend, sepuh"
cari DOTA,Found a hacker who donated me 15.000.000$.10/10,"suhu, sepuh"
tutor GTA,It's allright I guess. Played it twice. Quite fun.,waifu
tutor FF,Product received for free. Nice Game,"jodoh, free fire, sepuh"
tutor Destiny,you take two you ruined a good game,cecan
tutor DOTA,Nice game,"sepuh, valorant"
cari ML,this game gets a all around 10/10!it tops every battle royal game ever made!! no other can come close to PubG!,cewek
joki Cyberpunk,Autism central,suhu
joki Genshin Impact,"This game is hella lit fam. If you enjoy getting told that a 10 year old sleeps with your mom on the reg 10/10 would recomend. Then after word you proceed to get gangbanged by a 4 man squad that will one hit with a P92 pistol from 100ft away while youre auto running up a hill just so that they can dip their balls in your mouth and say "" China numba 1! "" So without a doubt you should get this game. 69/69 will play again.","jodoh, cecan, valorant"
joki Cyberpunk,Take 2 of my fingers up in the air in a 'V' shape Take Two Interactive Software Inc.,"suhu, cecan, cewek"
cari FF,This is a 10/10 game. I have easily put 700 hours into this game and I will put in 700 more! Then 700 more! There's not much I can say besides get this game! Worth it.Edit Just updating my review. I still think it's a 10/10 game. I even have 3700+ hours at the time of this edit which is 1600 more hours than I said I would have total when I said I would add 700 more and 700 more again.,"susah, waifu"
joki NINTENDO,广告恶心 要和腾讯同流合污了吗,"suhu, cecan"
cari Resident Evil,Loved this game. Then people starting shooting me through walls and mountains (wallhecks). Yes mountains. As in the new desert map mountains. Not one of those mountains that you can third person peek over a mountain probably bigger than the state of Texas. I am getting tired of a dude on the back of a dune buggy driving around holding the trigger on a UMP (insult to injury) and the bullets travel through the mountain and nail me in the head. I wasn't even on his mini map for pete's sake. Unless this gets fixed I highly recommend NOT playing this game because it completely ruined game night with my friends and I rarely get the chance to play with mine due to our schedules. I'd tell you not to buy it but at this point you probably already have back when the hype was real. Please fix this developers! I've dumped to much of my life into this game and I get massacred by someone who clearly isn't even North American (with the open mic he runs around with and spews gibberish). M A K E P U B G G R E A T A A G A I N,free fire
tutor FF,If you like the Harvest Moon series you will love this.It has a lot of the feeling of the original series with a few other additions that make it unique.Amazing game the ratings speak for itself.,cecan
joki VALORANT,awsome,suhu
joki Destiny,sucks nuts,"gg, suhu, cecan"
tutor Resident Evil,Completely broken game. Now 1.0 is out and each round is literally unplayable the first few minutes because of horrible lags (comes down to rubberbanding). Whoever wrote the netcode You suck at this! This game is a mess even now it is out of early access. The hype is strong sure but the lack of quality is offensive.,"jodoh, suhu"
cari Bang Bang,10/10,susah
cari GTA,Plays well currently lack optimization but will or should be fixed in future Versions. so far it is a Really fun exp but play with friends it makes it eaiser and Alot more Fun D,"waifu, valorant, cogan"
joki ML,take 2 greedy,"pro player, mobile legend, waifu"
tutor Roblox,ballislife ),"cecan, jodoh"
cari Bang Bang,play it it is worth it,"cogan, cewek, sepuh"
cari GTA,Great game so addicting.,"valorant, mobile legend, wibu"
joki Genshin Impact,what a joke,"wibu, waifu, pro player"
joki DOTA,Naked men chasing other naked men with rocks.10/10decent game needs a little improvement,"pro player, cecan, wibu"
tutor Bang Bang,Bedt game that come too live this car are real believe me i saw it they played football outside of my house,"cecan, suhu"
cari Minecraft,I had a job and friends once.... Then this game came out..... So much fun!!!!!!!!!!!!!!!!!!!!,"gg, suhu, cewek"
tutor FF,Awesome game,"mobile legend, jodoh, susah"
joki FF,i like it nice game cool graphics scary weapons angry cops and you can drink beer and whiskey. 10/10.1,valorant
joki Cyberpunk,"GET this game! Even if you think you won't really like it once you start playing you won't be able to stop its an addictive game and the good part is there is no ""higher level"" gear which gives anyone a leg up so it stays really competitive.10/10 !","valorant, cogan, pro player"
tutor Genshin Impact,Product received for free. great game if you love to farm like crazy,"cecan, wibu"
joki FF,Always a blast to play either alone or with a group of friends!,"cogan, gg"
cari DOTA,This game is good you have to learn how to play it though because at first its confusing,"susah, cogan, valorant"
cari Destiny,The heart pumping thrill of Dayz but with quicker games and generally much more fun.,"cewek, sepuh, cecan"
joki Clash Royale,Gr8 game,waifu
tutor PUBG,Terrible maintained game ya dingus crashes frequently constant issue with very long login time for GTA online so y ou sit there like a turkey offline mode is great. Need to fix these bugs for such a long standing game. I'm Dr. Steve Brule For your health.,"pro player, mobile legend"
cari NINTENDO,banned modding for this game great... EDITOPENIV IS BACK,cewek
cari Genshin Impact,You are like John Cena.. alone but strong enough to beat everyone.,"wibu, suhu"
tutor Resident Evil,In a large bowl sift together the flour baking powder salt and sugar. Make a well in the center and pour in the milk egg and melted butter mix until smooth.Heat a lightly oiled griddle or frying pan over medium high heat. Pour or scoop the batter onto the griddle using approximately 1/4 cup for each pancake.,"cewek, wibu, pro player"
cari NINTENDO,pubble ubble bubble gubble,"gg, mobile legend, sepuh"
cari PUBG,GOD GAME.,"cecan, free fire, valorant"
cari ML,"SO i was playing squad with my friends. 20 mins in the game while looting and finding a good spot We've finally got up to the hill near the edge of the blue. Meanwhile. the kill charts keep appearing on the bottom left of the screen and the name ""GodisZcc"" keeps appearing showing that the player killed others with a headshot by M249. The name keeps showing up four to five times and it starts to get supsicious. After a while one of my teammate started to get aimed. Bullets started flying towards the player from an unknown spot. Not for long. my teammate and I got knocked out and killed. We checked the killer name and it was still that guy (GodisZcc). SO we stayed in the game (after we died) and checked those ""killed name chat"". The wall and aim hacker (GodisZcc) keeps dominating the remaining players until they get the top #1. I hopethese hackers will get banned in the sooner future so that the time and effort that we put in while gaming will not be wasted.","pro player, cecan, cewek"
joki Clash Royale,FIX YOUR GARBAGE SERVERS.,gg
cari Clash Royale,Very nice be sure to get a controller for the best experience thou. Only bad thing about it is 1 Modders.2 Rockstar being greedy s and bringing out updates which cost MILLIONS UPON MILLIONS. So be sure to have friends to play with to get maximum fun and maybe a private lobby.,gg
joki PUBG,Not really a survival game more so a build game with looting. Great if you want to waste time to play effectively you should build or hunt not both all the time. Doesn't really have any realistic survival mechanics in the game. This is more so a shooter with crap that spawn you can loot and build with.,"valorant, cecan, suhu"
tutor Bang Bang,BEAUTIFUL,cecan
cari NINTENDO,Rocket League ist ein spiel was es verdinnt hat in denn steam charts auf Platz 1 zu sein,mobile legend
tutor VALORANT,This game is one of my all time favorite games for the computer!,"valorant, cewek, gg"
cari Cyberpunk,Take two decided to mess with the modding comunity to promote their cancerous GTA online.,pro player
cari COD,Amazing game,"free fire, cewek"
joki COD,10/10 Would own goal again,"sepuh, suhu, waifu"
tutor Roblox,Great game in the GTA franchise,waifu
tutor Cyberpunk,Fun but buggy as hell,"susah, valorant, pro player"
cari Cyberpunk,Trailer looks bad but when u start your first game you running like a headless chicken thats some casual walking in that trailer xD,"pro player, waifu"
cari GTA,reccomended!,pro player
cari Roblox,"Im having some trouble... just bought a new gaming computer and dowloaded gta! when i run it my screen goes black for a lot of time and i can only hear the background music. What may be the problem? is there an ingame download like on ps3/4? or should everything be completed once the ""main download"" is complete?","pro player, cecan"
joki ML,most fun I've had since I was a wee chap. but seriously China is number 1,jodoh
cari DOTA,Rockstar yapmış yine yapacağını.Son yıllarda çıkmış optimizasyonu sağlam hikayesi sağlam en iyi oyunlardan birini yapmış.Oyunda yok yok. Grand Theft Auto serisini sevmeyen bulamazsınız zaten. Bu oyundan sonra eminim seveni dahada artacaktır.Herkes almalı bence.Özellikle online modunda eğlence bol. D,"cewek, free fire"
joki Minecraft,This game suffers from the classic Early Access fever. Unoptimized full of bugs runs like crap on high end setups. Stay away.,"free fire, gg, susah"
tutor PUBG,Nice game. Needs alot fixes. Especially when people crouch jump it's registered as hacking lmao. 5/5,susah
cari PUBG,this game is great.,"cewek, cogan, free fire"
cari DOTA,.,cogan
cari VALORANT,I did not heed the bad reviews of this game and bought it and regretted it thoroughly. The game is so full of cheats and hackers. A simple search online (which I failed to do) would churn loads of cheat peddlars selling constantly updated cheats. Bottom line is if you really want to play this game be prepared to splurge on cheats as well otherwise you'd probably die a few mins in. If not DO NOT BUY IT! Just download Fortnite from Epic whom the PUBG developers are so busy suing instead of focusing on prolonging the lifespan of their own game.,"sepuh, gg, valorant"
tutor Bang Bang,AAAAAAAA+++++++++++++++++++++++++,"gg, wibu"
joki COD,This game Rocks its better than rock band.,waifu
cari ML,hello can anyone buy me gta 5 please biiiiich,"cecan, free fire, cewek"
joki Genshin Impact,The developers are too incompetent to actually divide their multiplayer content from singleplayer so they had to shoot up the whole modding scene for this game by calling for a C&amp D on OpenIV killing All modding possibilities for not only the single player version of GTA 5 but the whole scene for older RAGE Engine based titles including GTA 4 itself.Their reason 'to counter hackers'. Let me tell you most of them were already using hacks that were written on C++ &amp not through the modding tool which the game also had an update to disable any modded clients from entering GTA O months prior to the t done from T2 Interactive &amp Rockstar Games.You ed up Rockstar/T2 you and off with any new product that's in any form related with you. I am not going to continue funding companies that go through their way to restricting modding making it either impossible/inaccessible for others or putting it behind a paywall.Support OpenIV by heading down to the link below &amp signing that petition along with not spending a single dime on any product of T2I/R* because what businesses/companies/industries get affected from more than negative opinion on their products is actual loss of income.https //www.change.org/p/rockstar games save openiv,"cewek, sepuh, wibu"
tutor Destiny,The only thing i have against this game is the WIPES... I really enjoy to build a great base but knowing that my base will vanish in 1 month is realy bad for players focused on defending their bases and creating them... Hope this change in the future because pvp gets boring sometimes and all you really want to do in this game then is to protect and create your base... At least thats my point of view.,"suhu, gg, pro player"
joki VALORANT,fu king trash,waifu
joki Bang Bang,GTA onlline does all the money,"pro player, valorant, wibu"
cari PUBG,In it's genre I think this game is nearly perfect. I love the brutal nature of this game but I can imagine others don't. This game is not for the casuals.,"suhu, cecan, valorant"
cari Clash Royale,The servers are down...,mobile legend
joki Clash Royale,I cant llaunch the game i just bought it today and looked up quite a few vids nothing i did worked it just said running and nothing happened,"valorant, free fire, susah"
tutor Clash Royale,In these almost 50 hours I've spent in this game I have yet to face any server/queue/matchmaking issues and perhaps like 95% of the time was spent actually playing the game so that's definitely a positive start. Regarding actual gameplay there are a lot of bugs I can't deny that however they're minor and have no impact on the ability to play the game and enjoy the core idea of this game. The real gameplay excluding the bugs is what makes this game stand out in BR scene it has a lot of depth (plenty of things you can do with different tactics smokes hearing other people staying in the shadows etc.) in my opinion close to a perfect combat system (can't even compare it with h1z1) and these are the things that I consider high end priorities for such game.,"suhu, waifu, cewek"
cari FF,"I will soon surpiass 1000 hours on rust. Im sure if the game had not split once upon a time id have close to 1500 2000. This by far has been one of the best games ive ver owned even to this day they continue to update and improve the game. I revisit the game every few months for hours and hours of fun. There are some things you should know before you play. 1 Have thick skin Because you will die ""alot"" and loose everything you own. Sometimes it will trigger your worse than a SJW at a convention. But when you do reach that epic loot room goals and raid all of your enemies. It will be the best feeling ever!2 Never expect to enjoy the game without devoting time to learn it. Some gamers think just pressing buttons and laughing is the best way to play a game. this game is truly only mastered by those willing to research base design armor choices base locations and just the ability to be stealthy. You cant play rust without truly putting forth effort. So if you refused to even try once in grade school go back to fortnight.3 Its only a game! Just remember that everytime you spawn on a beach with nothing but a rock and torch only to be shot in the head by a man with every single piece of gear in the game including a AK!4 Dont trust Friduwolf he's a hacker!","sepuh, mobile legend, cecan"
joki COD,The ting goes skrrrahh pap pap ka ka kaSkidiki pap pap and a pu pu pudrrrr boomSkya du du ku ku dun dunPoom poom you don' know,"cogan, susah, valorant"
cari ML,Awesome to play with a squad of friends. Mouse controls are not as solid and smooth as say the CoD and Battlefield series. Gameplay is great. Graphics are not the best but it looks decent. Replayability is great considering this is a competitive game but the actual content is actually few and far between.Recently can't play it without using VPN. I hear a lot of people on same ISP (Sky Cable) having the same issue.Uninstalled it. Currently playing BFV which is a lot more fun IMO.,"wibu, pro player"
tutor Cyberpunk,no,"gg, jodoh, cecan"
tutor NINTENDO,No Cloud support.My hdd was broken replaced SSD instead of.My Whole Save Files has gone god damn Rockstar.,cogan
tutor Bang Bang,I really just like blowing up on here. The update is beautiful love the lighting effects.,"suhu, free fire"
tutor Cyberpunk,Frustrating adictive and fun in equal amounts.,"free fire, gg"
tutor PUBG,amazing gameplay hands down favorite games,"mobile legend, cecan"
joki Destiny,I dont know about this game anymore Its just so Un balanced i wish the devs would like Listen to there community more there always buffing killers and nerfing survivors they just make the game so dumb in a way of words i dont know what to say i would wait to get this game unless you have extra cash you just wanna spend.Well many updates later and here i am still playing this cancer filled game.UPDATE* This game actully sucks now pallets arent good killers cheat with wall hacks and theres a simple thing you change in the code as killer to have speed hacks like wtf this game it just sucks so much,"cewek, pro player"
joki Bang Bang,idk how to do this lol. im new xD,"gg, sepuh"
tutor Resident Evil,This game can be as fun as you want it to be. This game can be relaxing to play with friends or you can make it try hard sweat dripping frustrating competitive to play. The game is super optomized and runs really smooth at unlimited FPS with great graphics.,"susah, valorant"
cari VALORANT,Very recommmended.,pro player
cari Roblox,Dear BLUEHOLE FIX YOUR DAMNED SERVERS!Love RednexicanEdit since this 1st review improvements have been steller.,"pro player, waifu, cogan"
joki GTA,gr8,cogan
cari GTA,Not a fun game to play at all.,"sepuh, cogan, valorant"
tutor Genshin Impact,Not a place for casual gamers,"cogan, wibu, susah"
tutor GTA,Really bad game,sepuh
joki FF,Best/Funniest game to play with Friends. I recommend to buy it ),"mobile legend, cogan"
cari VALORANT,parked on sidewalk buying guns cars next to me start to do shadow magic and levitate and are never to be seen again 11/10,"gg, cogan, susah"
tutor PUBG,Hackers in 90 % of the games I played and also got banned 2 times for killing hackers on my team.,"susah, cecan"
cari PUBG,Roading and rag,jodoh
cari Minecraft,The game is not finnished. I get some stuttering I get ocasional crashes I get weird bugs and sometimes my car hovers in the air like it's from another world. However I havent gotten this wrapped up in a game this fast since I was young. This has everything I've always wanted. Massive map customizable weapons and a huge group of players. This game gives you the most tangible feeling of anxiey and fear. Even pros will sometimes find that they die almost instantly. Its great. As long as the improvements keep coming I reccomend this game.Edit RIP this game,"mobile legend, pro player, jodoh"
cari ML,It's like FIFA if FIFA sucked less. With cars.10/10.Very simple concept but a very fun game nonetheless. Gets addictive 20 minutes in. You don't have to like football/soccer to love this game. You can play with keyboard but i suggest a controlerFlaws matchmaking sometimes sucks.,suhu
tutor Bang Bang,Hackers aren't as freaquent as most say found at least 2 hackers in the 250 or so hours I put into this game. 10/10 would recommend Ign,"cewek, jodoh, pro player"
cari ML,Seems alright so far but it needs a story or something like missions. I would absoultely love this if it had space and ships to fly. *I recommend you only buy this game if you like exploration type games*,"wibu, valorant"
cari FF,Awesome game. Easy to pick up and start but difficult to master. There's always something new to learn.Great thing about it is you can play it in short bursts and you can have fun even if you are loosing (at least I can).Competitive mode is great and queue times are short. Great game and a lot of fun.It's better with a friend (IMO) but you can play it alone and have a lot of fun.Buy this game! You won't regret it.,"free fire, mobile legend"
cari Resident Evil,Buy this,"cewek, jodoh, suhu"
joki GTA,game is don't bother playing it,"pro player, susah"
cari ML,Do not purchase this game until it is updated once again. It is literally unplayable in the state that it is in currently. The next patch is said to launch on the 20th. It may be worth it after that point but as of right now this game should not be purchased.,"free fire, pro player, wibu"
joki COD,Fantastic game. Fun to play with friends.9/10Servers are hit and miss but only like 1/8th of the time,"jodoh, suhu"
tutor Destiny,Region lock China.,"susah, wibu, cogan"
joki Genshin Impact,A good gaming experience recommended enjoyment process in player. But the server is not stable enough.,"wibu, waifu, sepuh"
tutor Genshin Impact,Grind Theft Auto V,"susah, valorant"
cari COD,Holy cow!,gg
joki NINTENDO,This game has BALLS! and cars.,sepuh
joki DOTA,.,waifu
cari FF,Snow day and North Korea.,cogan
joki Clash Royale,A multiplayer game without multiplayer by the time you realize what a bad state this game is in you are way past the refund mark.Aside from all the multiplayer problems theres dozens of other problems that completely ruins this experience.Stay away.,"gg, cogan"
joki Cyberpunk,i love this game so much fun just wish it cost less xD,"mobile legend, cecan, jodoh"
tutor GTA,This game is a lot of fun. I'd put it up on top games list. Can't wait to see what the beta and subsequent actual game release will look like. It's already complex and enjoyable.,"free fire, wibu"
tutor NINTENDO,Pretty,"cecan, free fire"
tutor Resident Evil,While I've had plenty of grips/issues with Rust over the years I would have a hard time not recommending this game. Even if the game were to turn to complete right now I'd still have to recommend it. I spent $20 on Rust and have gotten 1600+ hours of entertainment out of it you can't get much better than that.,"pro player, sepuh, cewek"
tutor Bang Bang,its ight,"susah, mobile legend, jodoh"
joki COD,How to play Grand Theft Auto Online 2016 edition 1. Create a character2. Join online public server3. Steal a car4. Get in the car5. Find a random player and try to kill him6. Shoot as many bullet as you can but then realized he/she never die7. Have fun run your but off why he/she teleport throughout the map and kill you time to time8. Enter passive mode or live your life in fearOverall 6969/10 online game is the best game!,"jodoh, waifu"
joki Bang Bang,这游戏感觉容易腻 配置需求也比较高 游戏环境也不是很好 当然我自己买了后玩了2个多小时就不想玩了 偏偏玩了2个小时就不能退款了 气的一批,"cewek, gg"
cari VALORANT,This game was alot of fun but with china..not so much.,"suhu, cewek, mobile legend"
tutor Genshin Impact,I would recommend this game however steam should make a Mac version,"mobile legend, waifu, valorant"
joki ML,Rust is gay Cameron,suhu
joki DOTA,Seriousley fix your physics,cecan
tutor ML,The game is fun.you make money stupidly slow to encourage you to spent real money on shark cards. But dont worrie with each content update they introduce more expensive things for you to spend money one!,"valorant, susah"
tutor Resident Evil,8/10Could've been a 9 without issues like bad optimization and some graphical bugs and overall the numerous connection issues which i hope will be fixed within the next weeks. In terms of gameplay and content it's a very good game.,"mobile legend, pro player, cewek"
tutor Genshin Impact,Product received for free. hg,"suhu, sepuh"
joki Genshin Impact,Tom Clancy's Battlefields best ice skating simulator 1.27/3,"suhu, gg, jodoh"
joki VALORANT,A simple concept executed flawlessly. Tons of hours of casual and competitive fun with friends and strangers over the internetSavage!,"pro player, jodoh, sepuh"
tutor Roblox,Great game (y) !!,"pro player, sepuh"
cari NINTENDO,SDS,"susah, mobile legend, suhu"
tutor COD,Product received for free. This game was a gift from a friend. At first the game was fun (this was around June July) however as time passed the game became less enjoyable. Many problems occured in PUBG over the course of a few months. Usually at the same graphics that ran on my computer it was not choppy. However after a few updates this game not only became extremely choppy for me but for my friend who owns a custom built computer worth well over $1500. I could list multiple reasons why I wouldn't recommend this game but overrall the game worsened overtime.,"gg, jodoh"
joki Cyberpunk,Unless your a single player person don't buy this t. Hacking is just drag and drop hacks pretty much give the modders admin they can make messages come to your screen kick you ban you etc. DO NOT BUY Spend your 30$ on something else,"pro player, free fire, susah"
joki Bang Bang,ADORO ROCKET LEAGUE D,cecan
joki PUBG,It is very fun to play. If you are reading this I know you want it so buy it!,sepuh
tutor Roblox,How on gods green earth is this still priced at $59.99???,cogan
cari NINTENDO,i want my money back,cecan
tutor ML,Just get bored with online gamingplaying mod in singleplayerone day try to play with friend realized i got banned.thank you rockstar.,"cewek, valorant, suhu"
cari Bang Bang,Very fun game. I would consider it a simpler version of Dayz but still fun as hell. You have a lot of fun creating your buildings and building up your defenses but then you also have to watch out for raiders. Everything you worked for can be taken away in a blink of an eye. But you can also fight back! Very exciting game. Can be considered a digital Cowboys vs. Indians.,"wibu, mobile legend, free fire"
joki Minecraft,pre gud,susah
joki FF,Eh it's pretty good...,"wibu, free fire"
joki ML,Great game. Crafting system is intuitive. Progression is excellent. Only thing I wish it had was a single player option. Public servers are a pain because of the people. Worst part about this game is the community. If you build a base in a public server you better expect it to be looted and/or destroyed when you come back to the game.If you like pvp (and many do) then there are tons of massively popular pvp servers. But if you want to survive you better have a group of friends also playing. Or at the very least join a group already established on the server. Trying to go alone is guaranteed suicide.,"suhu, cewek, pro player"
tutor Genshin Impact,Don't let the negative reviews of potential cheaters and game breakers fool you this is an excellent game. Everything about it is smooth immersive and engaging. There's more content than you can shake a stick at and hundreds and hundreds of hours worth of gameplay to enjoy whether in story mode or playing online. People are upset because the game developers want people to play the game as intended instead of changing it drastically for entertainment purposes. Look at what OpenIV has done they changed the game SO much that now there are hundreds of people bad mouthing the game simply because they can't modify the game to their liking anymore. If OpenIV hadn't come along and tarnished an otherwise flawless product GTA V would still be a gleaming example of what a game should be. Instead it is losing players and the reputation of GTA V is being damaged beyond repair. Here's a big **** You to OpenIV for causing this.Sincerely A True Gamer,pro player
tutor COD,ing motorcycles,"susah, gg"
joki GTA,Product received for free. this game are awesome,"pro player, gg"
cari Resident Evil,This is legit I love killing people in it,"cewek, cogan"
joki Destiny,Great game it isn't perfect there are a lot of glitches but what a great game none the less and I wouldn't stop playing it because of that. I have many other games to play but always come back to pubg to play whenever I feel like gaming.,susah
cari DOTA,...the absolute dregs of humanity coming together to ruin the lives of every man woman and child they come across. Basically the virtual embodiment of my home town.10/10 would bring back painful memories of childhood again,"cecan, waifu, jodoh"
joki ML,fun singleplayer online not so much,jodoh
cari Clash Royale,Would not recommend. The 5 hours I have of game time was me completing the storymode and partially completing the online turtorials just to play with some friends online (which i did for all of 10 minutes). The fustration and time spent was not worth it.If i could i would refund this game.,"susah, valorant, waifu"
tutor Resident Evil,Great Monster Hunter game as always. Released with some bugs but they will get fixed very soon. Dont be afraid do play this game for 15+ hours Monster has alaways been hard to start. If you are an beginner to the series give it a try with at least 15+ hours otherwise you wont see how the game really is.,"cewek, waifu, cogan"
cari ML,Product received for free. Start is bit slow but after 2 hours I was completely submerged into the great story and atmosphere.,susah
cari PUBG,Highly suggest you dont play this game because of all of the blantant cheaters,"cewek, suhu, jodoh"
tutor GTA,I love this game on the phone but on the computer THE GAME SUCKS!!!!! On the phone your minimap indicates to where the direction of sound is coming from. on computer THERE IS NO INDICATION! I hear a gunshot then I am looking everywhere trying to see where the hell it came from just to get shot again! is it a joke or am I the only one to notice this? Good God this is an irritating haddicap! I ususually get at least 2(3 to 4 on good days) kills a game and always end up in the top 10%. on computer I have had the game running just a few days with its beutifull graphics and physics I have been nothing but a friggin target. Screw this peice of S #!,"wibu, gg"
cari COD,Playerunknown campinggrounds,"valorant, sepuh, wibu"
